id,job_title,experience_level,job_type,location,salary,salary_currency
35,Analytics Engineer,Entry,Full-time,Germany,79764,USD
36,ML Engineer,Mid,Full-time,Germany,117709,USD
37,Analytics Engineer,Entry,Full-time,Germany,93682,USD
38,Data Scientist,Senior,Full-time,Canada,99494,EUR
39,Data Analyst,Mid,Full-time,India,121317,USD
40,Data Engineer,Executive,Full-time,Germany,105215,USD
41,Data Scientist,Mid,Full-time,Canada,118587,USD
42,Data Engineer,Senior,Full-time,UK,46949,GBP
43,Data Analyst,Senior,Full-time,UK,95393,USD
44,Data Analyst,Entry,Full-time,Canada,178013,USD
45,Data Scientist,Mid,Full-time,Canada,65934,USD
46,Data Analyst,Senior,Contract,India,194458,USD
47,Analytics Engineer,Senior,Full-time,India,115745,USD
48,Data Analyst,Mid,Full-time,UK,134456,USD
49,Data Engineer,Entry,Full-time,Germany,93413,USD
50,Data Engineer,Senior,Full-time,UK,137239,USD
51,Data Engineer,Senior,Contract,Germany,82318,USD
52,Data Engineer,Mid,Full-time,Germany,110390,USD
53,Analytics Engineer,Entry,Full-time,India,83088,USD
54,ML Engineer,Executive,Full-time,USA,143196,USD
55,Data Scientist,Mid,Full-time,USA,95479,USD
56,Data Engineer,Mid,Full-time,Canada,59963,USD
57,Data Analyst,Senior,Full-time,India,95123,USD
58,Data Engineer,Senior,Full-time,Germany,165911,USD
59,Data Analyst,Senior,Full-time,USA,142468,EUR
60,Data Analyst,Entry,Full-time,Germany,113477,USD
61,Data Engineer,Mid,Full-time,USA,54388,GBP
62,Analytics Engineer,Senior,Full-time,USA,45569,USD
63,Data Analyst,Entry,Full-time,USA,109836,USD
64,Data Analyst,Entry,Full-time,India,144573,GBP
65,Data Engineer,Executive,Contract,UK,183087,USD
66,Data Analyst,Mid,Full-time,Germany,85002,USD
67,Data Analyst,Mid,Full-time,India,177326,USD
68,Data Engineer,Executive,Full-time,India,188216,USD
69,Data Engineer,Executive,Part-time,India,195286,EUR
70,Data Scientist,Mid,Full-time,India,177162,GBP
71,Analytics Engineer,Senior,Full-time,India,182709,EUR
72,Analytics Engineer,Entry,Full-time,Canada,193487,USD
73,Data Analyst,Mid,Full-time,Germany,64071,GBP
74,Analytics Engineer,Senior,Contract,India,98243,EUR
75,Data Analyst,Senior,Part-time,Germany,165827,USD
76,Data Scientist,Senior,Full-time,Canada,148215,USD
77,Data Engineer,Mid,Full-time,Canada,141570,GBP
78,Data Engineer,Senior,Contract,Germany,109724,USD
79,Data Engineer,Senior,Full-time,USA,155359,GBP
80,Analytics Engineer,Executive,Full-time,UK,115697,USD
81,Data Scientist,Senior,Full-time,USA,68732,GBP
82,Analytics Engineer,Senior,Full-time,USA,161465,USD
83,Analytics Engineer,Mid,Contract,USA,182386,USD
84,Data Scientist,Mid,Contract,India,195026,USD
85,Data Scientist,Executive,Part-time,Canada,97108,GBP
86,Data Scientist,Executive,Full-time,USA,151195,USD
87,Data Scientist,Mid,Part-time,Canada,143081,USD
88,Data Engineer,Mid,Full-time,Germany,76668,USD
89,ML Engineer,Mid,Full-time,UK,63061,EUR
90,ML Engineer,Mid,Full-time,Germany,119252,USD
91,Data Scientist,Executive,Part-time,Germany,79749,GBP
92,ML Engineer,Entry,Part-time,India,170560,USD
93,ML Engineer,Entry,Full-time,UK,144680,USD
94,Data Scientist,Mid,Part-time,Germany,187979,USD
95,ML Engineer,Entry,Full-time,Germany,189849,USD
96,Analytics Engineer,Mid,Full-time,UK,91745,GBP
97,Data Analyst,Senior,Full-time,UK,148464,USD
98,Data Analyst,Senior,Full-time,Germany,131865,USD
99,Data Scientist,Mid,Full-time,UK,152428,EUR
100,Data Engineer,Mid,Full-time,Germany,63624,USD
101,Data Scientist,Mid,Full-time,Germany,63321,USD
102,Data Engineer,Senior,Full-time,India,181560,EUR
103,Data Analyst,Mid,Full-time,USA,62574,USD
104,Data Scientist,Mid,Full-time,Germany,176312,USD
105,Analytics Engineer,Executive,Full-time,Canada,181550,EUR
106,ML Engineer,Mid,Full-time,USA,190334,USD
107,Data Engineer,Executive,Full-time,USA,158831,USD
108,ML Engineer,Mid,Full-time,USA,175504,USD
109,ML Engineer,Mid,Full-time,India,135257,GBP
110,Data Scientist,Senior,Full-time,Germany,104291,USD
111,ML Engineer,Senior,Contract,India,167600,USD
112,Analytics Engineer,Senior,Full-time,Germany,90428,EUR
113,ML Engineer,Entry,Full-time,India,171374,GBP
114,Data Scientist,Mid,Contract,India,171127,USD
115,Analytics Engineer,Mid,Full-time,Canada,151317,USD
116,Data Analyst,Senior,Full-time,India,179789,USD
117,ML Engineer,Entry,Full-time,UK,167449,GBP
118,Data Scientist,Executive,Full-time,Canada,68699,USD
119,Data Analyst,Mid,Full-time,India,113686,USD
120,Data Analyst,Mid,Full-time,USA,107661,GBP
121,Data Engineer,Senior,Full-time,UK,84247,EUR
122,Analytics Engineer,Senior,Full-time,UK,187820,USD
123,ML Engineer,Executive,Part-time,UK,145113,GBP
124,Data Scientist,Mid,Full-time,Canada,44621,USD
125,Data Engineer,Mid,Full-time,India,186106,GBP
126,Analytics Engineer,Mid,Full-time,India,176198,USD
127,Data Engineer,Executive,Full-time,USA,176194,USD
128,Analytics Engineer,Entry,Full-time,USA,58030,GBP
129,Analytics Engineer,Mid,Full-time,UK,122838,USD
130,ML Engineer,Entry,Full-time,USA,124717,USD
131,Analytics Engineer,Mid,Full-time,Canada,78638,GBP
132,Data Engineer,Mid,Full-time,India,107067,GBP
133,Analytics Engineer,Mid,Full-time,UK,158033,USD
134,ML Engineer,Mid,Full-time,USA,145977,USD
135,ML Engineer,Senior,Full-time,Canada,128869,USD
136,Data Engineer,Executive,Contract,Canada,145186,USD
137,Data Analyst,Entry,Part-time,USA,74674,USD
138,Data Analyst,Entry,Full-time,India,86271,USD
139,Analytics Engineer,Senior,Contract,USA,113688,EUR
140,Data Scientist,Mid,Full-time,UK,151076,USD
141,Analytics Engineer,Mid,Full-time,USA,181339,USD
142,Data Engineer,Mid,Full-time,Canada,41062,USD
143,Data Engineer,Mid,Full-time,USA,90448,EUR
144,Data Engineer,Senior,Full-time,India,135462,USD
145,Data Engineer,Entry,Full-time,Germany,177301,USD
146,Data Engineer,Senior,Full-time,USA,87915,USD
147,ML Engineer,Mid,Full-time,India,44632,USD
148,Data Analyst,Mid,Contract,India,144592,USD
149,Data Engineer,Mid,Full-time,Canada,174668,EUR
